iso,elapsed_s,busy,ring_gb,card_pct,card_free_gb,temp_c,load1,throttled
2026-09-08T21:23:31+00:00,0.0,True,3.32,11.34,104.2,52.1,0.00,0xe0000
2026-09-08T21:24:32+00:00,60.2,True,3.49,11.47,104.0,53.2,0.06,0xe0000
2026-09-08T21:25:32+00:00,120.4,True,3.66,11.61,103.8,53.2,0.02,0xe0000
2026-09-08T21:26:32+00:00,180.6,True,3.83,11.75,103.7,53.8,0.01,0xe0000
2026-09-08T21:27:32+00:00,240.8,True,4.00,11.89,103.5,53.8,0.13,0xe0000
2026-09-08T21:28:32+00:00,301.0,True,4.18,12.03,103.3,53.2,0.34,0xe0000
2026-09-08T21:29:33+00:00,361.1,True,4.35,12.17,103.1,53.2,0.19,0xe0000
2026-09-08T21:30:33+00:00,421.3,True,4.52,12.31,103.0,55.4,0.07,0xe0000
2026-09-08T21:31:33+00:00,481.5,True,4.69,12.45,102.8,55.4,0.08,0xe0000
2026-09-08T21:32:33+00:00,541.7,True,4.86,12.59,102.6,54.3,0.06,0xe0000
2026-09-08T21:33:33+00:00,601.9,True,5.04,12.73,102.5,55.4,0.09,0xe0000
2026-09-08T21:34:33+00:00,662.1,True,5.21,12.87,102.3,56.5,0.09,0xe0000
2026-09-08T21:35:34+00:00,722.3,True,5.38,13.01,102.1,53.8,0.18,0xe0000
2026-09-08T21:36:34+00:00,782.5,True,5.55,13.15,101.9,54.3,0.11,0xe0000
2026-09-08T21:37:34+00:00,842.6,True,5.73,13.29,101.8,55.4,0.11,0xe0000
2026-09-08T21:38:34+00:00,902.8,True,5.90,13.43,101.6,54.3,0.32,0xe0000
2026-09-08T21:39:34+00:00,963.0,True,6.07,13.57,101.4,54.9,0.11,0xe0000
2026-09-08T21:40:35+00:00,1023.2,True,6.25,13.71,101.2,55.4,0.23,0xe0000
2026-09-08T21:41:35+00:00,1083.4,True,6.42,13.85,101.1,56.0,0.22,0xe0000
2026-09-08T21:42:35+00:00,1143.6,True,6.59,13.99,100.9,55.4,0.08,0xe0000
2026-09-08T21:43:35+00:00,1203.7,True,6.77,14.13,100.7,54.3,0.03,0xe0000
2026-09-08T21:44:35+00:00,1263.9,True,6.94,14.28,100.5,54.3,0.17,0xe0000
2026-09-08T21:45:36+00:00,1324.1,True,7.12,14.42,100.4,56.0,0.06,0xe0000
2026-09-08T21:46:36+00:00,1384.3,True,7.30,14.56,100.2,54.3,0.16,0xe0000
2026-09-08T21:47:36+00:00,1444.5,True,7.47,14.71,100.0,54.9,0.16,0xe0000
2026-09-08T21:48:36+00:00,1504.7,True,7.65,14.85,99.8,54.9,0.15,0xe0000
2026-09-08T21:49:36+00:00,1564.9,True,7.82,14.99,99.7,54.3,0.12,0xe0000
